	text	id	created_at	reply_settings	edit_history_tweet_ids	conversation_id	referenced_tweets	author_id	lang	public_metrics.retweet_count	public_metrics.reply_count	public_metrics.like_count	public_metrics.quote_count	public_metrics.impression_count	in_reply_to_user_id	geo.place_id
22	RT @eclipsethis2003: Peaceful protests says Former First Lady Michelle Obama. https://t.co/OYmhPHZfZQ	1633672681521582080	2023-03-09T03:34:54.000Z	everyone	['1633672681521582080']	1633672681521582080	[{'type': 'retweeted', 'id': '1633495741028003842'}]	2355595164	en	353	0	0	0	0		
23	"RT @GregRubini: The CIA Coup in Ukraine happened in 2014.
John McCain was involved in it, with Obama, Joe Biden and Victoria Nuland.

Add E…"	1633672681357819904	2023-03-09T03:34:54.000Z	everyone	['1633672681357819904']	1633672681357819904	[{'type': 'retweeted', 'id': '1632886057598369795'}]	1520949346103144451	en	158	0	0	0	0		
24	@MrChristianDiaz 'And yet run by the Democrat Party for how long?' Barack Obama walked right through the Cabrini Green Housing projects to community organize for the party that saw nothing wrong with the housing projects.	1633672678707175425	2023-03-09T03:34:53.000Z	everyone	['1633672678707175425']	1633645578386022401	[{'type': 'replied_to', 'id': '1633645578386022401'}]	112555809	en	0	0	0	0	1	530803411	
25	RT @BarackObama: This International Women's Day, read how @MichelleObama, @MelindaGates and Amal Clooney are working together to help end c…	1633672677058830336	2023-03-09T03:34:53.000Z	everyone	['1633672677058830336']	1633672677058830336	[{'type': 'retweeted', 'id': '1633574144791937026'}]	1548192788843737088	en	975	0	0	0	0		
26	RT @TomFitton: Obama knew. Clinton knew. Biden knew. Comey knew. Brennan knew. McCabe knew. Strzok knew.Clapper knew.Schiff knew.FBI knew.D…	1633672676802719744	2023-03-09T03:34:52.000Z	everyone	['1633672676802719744']	1633672676802719744	[{'type': 'retweeted', 'id': '1633625411845345280'}]	1598351629568417792	en	3313	0	0	0	0		
27	@SUBRATA30016572 Agree! Melania Trump is a far better First Lady than Jill Biden &amp; Michelle Obama was. Check my pin tweet bro	1633672673887674372	2023-03-09T03:34:52.000Z	everyone	['1633672673887674372']	1633650499647057920	[{'type': 'replied_to', 'id': '1633650499647057920'}]	1623674957459820545	en	0	0	0	0	0	1142736007567069184	
28	RT @RicharD1ckJohn: @fateCEOavi Yessir Mr. Obama, I am ready to [redacted] in Pikamee's name https://t.co/kxEWpoZzh1	1633672669743955969	2023-03-09T03:34:51.000Z	everyone	['1633672669743955969']	1633672669743955969	[{'type': 'retweeted', 'id': '1633278534494846977'}]	2183476843	en	2	0	0	0	0		
29	RT @TomFitton: Obama knew. Clinton knew. Biden knew. Comey knew. Brennan knew. McCabe knew. Strzok knew.Clapper knew.Schiff knew.FBI knew.D…	1633672664647626752	2023-03-09T03:34:50.000Z	everyone	['1633672664647626752']	1633672664647626752	[{'type': 'retweeted', 'id': '1633625411845345280'}]	1272220541726965762	en	3313	0	0	0	0		
30	"“Obama was born in USA”-how long did it take before major networks said clearly, and definitively HE WAS!”

MOST IMPORTANTLY they needed to add: 

“the people who say he WASN’T are ill-informed or LYING” Same with climate change. If a reporter can’t do that just have a robot."	1633672661506088961	2023-03-09T03:34:49.000Z	everyone	['1633672661506088961']	1633672659836755969	[{'type': 'replied_to', 'id': '1633672659836755969'}]	776446214644633600	en	0	0	0	0	0	776446214644633600	
31	"RT @NileGardiner: Liberal elites may not like it, but this is called democracy. 

https://t.co/8LfQ0LK1bV"	1633672653734047746	2023-03-09T03:34:47.000Z	everyone	['1633672653734047746']	1633672653734047746	[{'type': 'retweeted', 'id': '1633555839880679429'}]	1966956072	en	4	0	0	0	0		
32	RT @InnerVoltRock: 🚨ATTN: Resistance— *please be advised that the flipper account we all recently knew as @ oregon_report has now changed h…	1633672638680936448	2023-03-09T03:34:43.000Z	everyone	['1633672638680936448']	1633672638680936448	[{'type': 'retweeted', 'id': '1633552848527958031'}]	2221713020	en	67	0	0	0	0		
33	RT @EladNehorai: Too many liberals are sleeping on rising fascism because of a few national political wins, just as they did when Obama was…	1633672635879133186	2023-03-09T03:34:43.000Z	everyone	['1633672635879133186']	1633672635879133186	[{'type': 'retweeted', 'id': '1633632434972663808'}]	2973249397	en	337	0	0	0	0		
34	"Biden &amp; Balloons 🤣 https://t.co/sRmEx1GgV6 via @YouTube 

#shorts #biden #obama #president #viral #trending #trendingshorts #viralshorts #balloon #funny #funnyvideo"	1633672632787689473	2023-03-09T03:34:42.000Z	everyone	['1633672632787689473']	1633672632787689473		965703877	en	0	0	0	0	1		
35	@SurayaMarsh I can’t stand Michelle Obama but, I would never make a racist comments like that. I’d like to believe most people aren’t racist, prob just a few keyboard morons who have no life stirring the pot. 🙏🏼	1633672631110225920	2023-03-09T03:34:42.000Z	everyone	['1633672631110225920']	1633667506224128001	[{'type': 'replied_to', 'id': '1633668703530237952'}]	1274028399409782786	en	0	0	0	0	0	211981618	
36	"RT @EzraSullivan5: Happy International Women's Day🌷

Dr. Jill Biden has been on the cover of Vogue magazine twice. Michelle Obama has been…"	1633672614471237637	2023-03-09T03:34:38.000Z	everyone	['1633672614471237637']	1633672614471237637	[{'type': 'retweeted', 'id': '1633670247386341376'}]	1420615735135686659	en	1	0	0	0	0		
37	"RT @bab_102: Michelle Obama

When those doors shut, I cried for 30 minutes straight. 

-- Former first lady Michelle Obama, sharing in a ne…"	1633672608964292610	2023-03-09T03:34:36.000Z	everyone	['1633672608964292610']	1633672608964292610	[{'type': 'retweeted', 'id': '1633450488392720386'}]	72076895	en	23	0	0	0	0		
38	RT @MsAvaArmstrong: TUCKER CARLSON: Will we see a whole lot more of Michelle Obama in the next two years? | Fox News https://t.co/It2yNmTjZ7	1633672607676633088	2023-03-09T03:34:36.000Z	everyone	['1633672607676633088']	1633672607676633088	[{'type': 'retweeted', 'id': '1633670171138330627'}]	22292787	en	6	0	0	0	0		
39	RT @JunkScience: Despite his protestations, @Sen_JoeManchin has done nothing but enable Biden's anti-fossil fuel agenda... much like he did…	1633672606082801664	2023-03-09T03:34:36.000Z	everyone	['1633672606082801664']	1633672606082801664	[{'type': 'retweeted', 'id': '1633663928315133954'}]	478052744	en	5	0	0	0	0		
40	@MsAvaArmstrong She is not gonna make It!!People have realized she is as evil as Obama and Biden!!	1633672599443054593	2023-03-09T03:34:34.000Z	everyone	['1633672599443054593']	1633661305801326593	[{'type': 'replied_to', 'id': '1633661305801326593'}]	1620205279605317632	en	0	0	0	0	1	2449913803	
41	RT @TomFitton: Obama knew. Clinton knew. Biden knew. Comey knew. Brennan knew. McCabe knew. Strzok knew.Clapper knew.Schiff knew.FBI knew.D…	1633672594032566272	2023-03-09T03:34:33.000Z	everyone	['1633672594032566272']	1633672594032566272	[{'type': 'retweeted', 'id': '1633625411845345280'}]	4602887955	en	3313	0	0	0	0		
42	RT @TomFitton: Obama knew. Clinton knew. Biden knew. Comey knew. Brennan knew. McCabe knew. Strzok knew.Clapper knew.Schiff knew.FBI knew.D…	1633672593227096064	2023-03-09T03:34:33.000Z	everyone	['1633672593227096064']	1633672593227096064	[{'type': 'retweeted', 'id': '1633625411845345280'}]	803814001054392324	en	3313	0	0	0	0		
43	RT @eclipsethis2003: Peaceful protests says Former First Lady Michelle Obama. https://t.co/OYmhPHZfZQ	1633672591448903680	2023-03-09T03:34:32.000Z	everyone	['1633672591448903680']	1633672591448903680	[{'type': 'retweeted', 'id': '1633495741028003842'}]	71106451	en	353	0	0	0	0		
44	RT @MsAvaArmstrong: TUCKER CARLSON: Will we see a whole lot more of Michelle Obama in the next two years? | Fox News https://t.co/It2yNmTjZ7	1633672588923924480	2023-03-09T03:34:32.000Z	everyone	['1633672588923924480']	1633672588923924480	[{'type': 'retweeted', 'id': '1633670171138330627'}]	1428945843097198594	en	6	0	0	0	0		
45	RT @mrddmia: Unless President Obama gave then-Vice President Biden permission to take these classified records, Biden clearly violated the…	1633672588915531779	2023-03-09T03:34:32.000Z	everyone	['1633672588915531779']	1633672588915531779	[{'type': 'retweeted', 'id': '1633665020096811010'}]	1399790022	en	99	0	0	0	0		
46	RT @TomFitton: Obama knew. Clinton knew. Biden knew. Comey knew. Brennan knew. McCabe knew. Strzok knew.Clapper knew.Schiff knew.FBI knew.D…	1633672569009078274	2023-03-09T03:34:27.000Z	everyone	['1633672569009078274']	1633672569009078274	[{'type': 'retweeted', 'id': '1633625411845345280'}]	966364084722716673	en	3313	0	0	0	0		
47	RT @BarackObama: This International Women's Day, read how @MichelleObama, @MelindaGates and Amal Clooney are working together to help end c…	1633672565976891392	2023-03-09T03:34:26.000Z	everyone	['1633672565976891392']	1633672565976891392	[{'type': 'retweeted', 'id': '1633574144791937026'}]	44007281	en	975	0	0	0	0		
48	@memequeenkimmy @BassistOld @TreatHunterDog @42Gnome @Flattielover @Missy8008135 @Bigteethyouhave @giddy_bunny @LadyOfTheOcean1 @lanemancini61 @signalcorp13 @PridgeWessea @VtTbQW9s3xjPOow @twopartyhell @1961mcruzer @ShellyRKirchoff @sheIton_kenzi @itisjustmebabe @SnoJusticeDad @TheOldPoet @Damaan4u33 @Wanderinglord @SuP3rK @MS_JuliaLee @RushvileRocket @RealDamnDean @iam_pann @WattzzD @ghost_of_tick @Dont_BIame_Me @BlueEyeJeff @TomDoubting @proundpapaof3 @medwoman1 @OGApe12 @GodlessApe666 @Democracy631 @SoulNature9 @ZWV134 @MollyFrankIin @LordButters22 @DocDeezWhat @sree @larriandJ @MrScottLads @BalueCat @RealKyleeWright @lincconard @CorruptedLiars Obama must hate that.	1633672560150708225	2023-03-09T03:34:25.000Z	everyone	['1633672560150708225']	1621920466276319234	[{'type': 'replied_to', 'id': '1633661161475387392'}]	1388366299	en	0	0	1	0	1	1619113527741923328	
49	RT @MsAvaArmstrong: Michelle Obama for President in 2024? It Could Happen https://t.co/8VOOFxhIPu	1633672553649561608	2023-03-09T03:34:23.000Z	everyone	['1633672553649561608']	1633672553649561608	[{'type': 'retweeted', 'id': '1633670685716541441'}]	1592231377965121536	en	6	0	0	0	0		
50	RT @Cernovich: @elonmusk @SenSchumer Obama and other Democrats regularly meet with the Nation of Islam. How many people hyperventilating ab…	1633672533307191299	2023-03-09T03:34:18.000Z	everyone	['1633672533307191299']	1633672533307191299	[{'type': 'retweeted', 'id': '1633607258839072768'}]	533755758	en	106	0	0	0	0		
51	RT @argosaki: For the record: 2014 courtesy of Obama &amp; co ‼️‼️👁️👇🤬🤬🤬‼️‼️👁️👇👇‼️‼️👁️👇🤬🤬🤬🤬🤬‼️‼️👁️👇🥲 https://t.co/wBcK5ApzDr	1633672527179567104	2023-03-09T03:34:17.000Z	everyone	['1633672527179567104']	1633672527179567104	[{'type': 'retweeted', 'id': '1633665310397177857'}]	1371320675751792641	en	2	0	0	0	0		
52	RT @TomFitton: Obama knew. Clinton knew. Biden knew. Comey knew. Brennan knew. McCabe knew. Strzok knew.Clapper knew.Schiff knew.FBI knew.D…	1633672522792333312	2023-03-09T03:34:16.000Z	everyone	['1633672522792333312']	1633672522792333312	[{'type': 'retweeted', 'id': '1633625411845345280'}]	21676500	en	3313	0	0	0	0		
53	@bobika49984055 @EndWokeness Obama’s second term.	1633672513304576001	2023-03-09T03:34:13.000Z	everyone	['1633672513304576001']	1633574106166599680	[{'type': 'replied_to', 'id': '1633615063658504199'}]	1518789107673145346	en	0	0	0	0	1	1605004548849926145	
54	RT @TomFitton: Obama knew. Clinton knew. Biden knew. Comey knew. Brennan knew. McCabe knew. Strzok knew.Clapper knew.Schiff knew.FBI knew.D…	1633672510406369281	2023-03-09T03:34:13.000Z	everyone	['1633672510406369281']	1633672510406369281	[{'type': 'retweeted', 'id': '1633625411845345280'}]	40221274	en	3313	0	0	0	0		
55	"RT @paulsperry_: President Obama founded the ""Disinformation"" Industry by signing Executive Order 13271 in 2016, which created a cottage in…"	1633672500256047105	2023-03-09T03:34:10.000Z	everyone	['1633672500256047105']	1633672500256047105	[{'type': 'retweeted', 'id': '1633607345329651713'}]	202762189	en	378	0	0	0	0		
56	RT @TomFitton: Obama knew. Clinton knew. Biden knew. Comey knew. Brennan knew. McCabe knew. Strzok knew.Clapper knew.Schiff knew.FBI knew.D…	1633672498553167872	2023-03-09T03:34:10.000Z	everyone	['1633672498553167872']	1633672498553167872	[{'type': 'retweeted', 'id': '1633625411845345280'}]	1518671942714376193	en	3313	0	0	0	0		
57	RT @TomFitton: Obama knew. Clinton knew. Biden knew. Comey knew. Brennan knew. McCabe knew. Strzok knew.Clapper knew.Schiff knew.FBI knew.D…	1633672495768260608	2023-03-09T03:34:09.000Z	everyone	['1633672495768260608']	1633672495768260608	[{'type': 'retweeted', 'id': '1633625411845345280'}]	1469095957862227968	en	3313	0	0	0	0		
58	RT @TomFitton: Obama knew. Clinton knew. Biden knew. Comey knew. Brennan knew. McCabe knew. Strzok knew.Clapper knew.Schiff knew.FBI knew.D…	1633672491871928320	2023-03-09T03:34:08.000Z	everyone	['1633672491871928320']	1633672491871928320	[{'type': 'retweeted', 'id': '1633625411845345280'}]	1491300159669501955	en	3313	0	0	0	0		
59	"RT @Tigraway14myd: @JosepBorrellF
+130K gang rapped women, girls and children of Tigray are left with out reliable justice. Therefore, on t…"	1633672485236273152	2023-03-09T03:34:07.000Z	everyone	['1633672485236273152']	1633672485236273152	[{'type': 'retweeted', 'id': '1633640926936731648'}]	1551727311225081858	en	23	0	0	0	0		
60	"RT @doctorskillet: @MehdiHasanShow @kristafrances @mehdirhasan thought your going to have a few more #BulletPoints 3.
https://t.co/HCaaR7gV…"	1633672483248250881	2023-03-09T03:34:06.000Z	everyone	['1633672483248250881']	1633672483248250881	[{'type': 'retweeted', 'id': '1633664348496486400'}]	219520718	en	1	0	0	0	0		
61	RT @AfricanHub_: Gaddafi and Obama were best Friends. But since Obama was now on the West side making the matters worse as the president of…	1633672479452573696	2023-03-09T03:34:05.000Z	everyone	['1633672479452573696']	1633672479452573696	[{'type': 'retweeted', 'id': '1633541739188215839'}]	1214029501	en	200	0	0	0	0		
62	RT @mrddmia: Unless President Obama gave then-Vice President Biden permission to take these classified records, Biden clearly violated the…	1633672476583669760	2023-03-09T03:34:05.000Z	everyone	['1633672476583669760']	1633672476583669760	[{'type': 'retweeted', 'id': '1633665020096811010'}]	1629964928806432768	en	99	0	0	0	0		
63	RT @LaurieWiese: @EndWokeness This shallow White House, same with Obama’s, just cater to whoever is trending. As a woman..I’m insulted. Kee…	1633672472628277248	2023-03-09T03:34:04.000Z	everyone	['1633672472628277248']	1633672472628277248	[{'type': 'retweeted', 'id': '1633655790513930242'}]	1614375314934611971	en	1	0	0	0	0		
64	RT @BarackObama: This International Women's Day, read how @MichelleObama, @MelindaGates and Amal Clooney are working together to help end c…	1633672469105000450	2023-03-09T03:34:03.000Z	everyone	['1633672469105000450']	1633672469105000450	[{'type': 'retweeted', 'id': '1633574144791937026'}]	848514858	en	975	0	0	0	0		
65	RT @TomFitton: Obama knew. Clinton knew. Biden knew. Comey knew. Brennan knew. McCabe knew. Strzok knew.Clapper knew.Schiff knew.FBI knew.D…	1633672459546427392	2023-03-09T03:34:01.000Z	everyone	['1633672459546427392']	1633672459546427392	[{'type': 'retweeted', 'id': '1633625411845345280'}]	953670515033497602	en	3313	0	0	0	0		
66	@RepSwalwell I thought Obama and the dems were shutting down Guantanamo, lol.	1633672456962723840	2023-03-09T03:34:00.000Z	everyone	['1633672456962723840']	1633610954486185985	[{'type': 'replied_to', 'id': '1633610954486185985'}]	903490348206374912	en	0	0	0	0	0	942156122	
67	@joshuetree Also, Hitler as a centrist! Every single Political Compass map puts him in the center. He was literally *the* prototypical far-right dictator. To put *anyone* right of him, let alone Obama and Clinton, is so absurd that that alone invalidates anyone taking this seriously.	1633672454869594112	2023-03-09T03:34:00.000Z	everyone	['1633672454869594112']	1633670738132492288	[{'type': 'replied_to', 'id': '1633671562598465536'}]	716813053	en	0	0	0	0	4	18107739	
68	"RT @modap_: The Last time Lionel Messi won a Champions league, A Thread

-Xavi was a player 
-Wenger was coaching Arsenal
-Guardiola coache…"	1633672454307553281	2023-03-09T03:33:59.000Z	everyone	['1633672454307553281']	1633672454307553281	[{'type': 'retweeted', 'id': '1633586813712343041'}]	2582090057	en	660	0	0	0	0		
69	@7Abeiii I’m quite positive Obama fucked up MN with all the resettling of the Somali refugees. It was done on purpose of course.	1633672451174584320	2023-03-09T03:33:59.000Z	everyone	['1633672451174584320']	1633635721406971905	[{'type': 'replied_to', 'id': '1633640345329184769'}]	715709808779862017	en	0	0	0	0	1	2801108067	
70	@ChuckCallesto Twist: it was actually Obama.	1633672450297802754	2023-03-09T03:33:58.000Z	everyone	['1633672450297802754']	1633643289118121987	[{'type': 'replied_to', 'id': '1633643289118121987'}]	376427455	en	0	0	0	0	2	4765364386	
71	"This is why shadow government liars don't want you to know SARS CoV 2 was manufactured in a lab. U.S. government in Obama administration developed 30 bioweapons labs in Ukraine to manufacture viruses that selectively target certain ethnic groups.
https://t.co/RYqNB3HiUB"	1633672447525367811	2023-03-09T03:33:58.000Z	everyone	['1633672447525367811']	1633672447525367811		1593680380971868167	en	0	1	0	0	11		
72	"RT @saltlighttruth: Was this Epstein’s jet?

Spelling test for today:
Epstein
Arkancide
Clinton
Bodycount 

Dana Hyde served in the Bill Cl…"	1633672445134602244	2023-03-09T03:33:57.000Z	everyone	['1633672445134602244']	1633672445134602244	[{'type': 'retweeted', 'id': '1633501301563707393'}]	1587991743068356608	en	4	0	0	0	0		
73	RT @TomFitton: Obama knew. Clinton knew. Biden knew. Comey knew. Brennan knew. McCabe knew. Strzok knew.Clapper knew.Schiff knew.FBI knew.D…	1633672443750490112	2023-03-09T03:33:57.000Z	everyone	['1633672443750490112']	1633672443750490112	[{'type': 'retweeted', 'id': '1633625411845345280'}]	1520444267625426944	en	3313	0	0	0	0		
74	RT @TomFitton: Obama knew. Clinton knew. Biden knew. Comey knew. Brennan knew. McCabe knew. Strzok knew.Clapper knew.Schiff knew.FBI knew.D…	1633672441485565952	2023-03-09T03:33:56.000Z	everyone	['1633672441485565952']	1633672441485565952	[{'type': 'retweeted', 'id': '1633625411845345280'}]	22841302	en	3313	0	0	0	0		
75	RT @SheriffClarke: Biden doesn’t give a f*ck about what the courts think. He’ll keep with his open border policy knowing the court is power…	1633672436922085376	2023-03-09T03:33:55.000Z	everyone	['1633672436922085376']	1633672436922085376	[{'type': 'retweeted', 'id': '1633669374358814723'}]	1548828965300731906	en	27	0	0	0	0		
76	@Peter075643752 @LibFails Fair...I am for regulation, but not to the point of choking businesses. Look what happened in Ohio when Obama Era train brake regulations were eliminated by Trump. Look the at the disaster.	1633672433512202240	2023-03-09T03:33:54.000Z	everyone	['1633672433512202240']	1633561455445307393	[{'type': 'replied_to', 'id': '1633669550947414016'}]	21485584	en	0	0	0	0	2	1619564972110913537	
77	RT @TomFitton: Obama knew. Clinton knew. Biden knew. Comey knew. Brennan knew. McCabe knew. Strzok knew.Clapper knew.Schiff knew.FBI knew.D…	1633672426419617794	2023-03-09T03:33:53.000Z	everyone	['1633672426419617794']	1633672426419617794	[{'type': 'retweeted', 'id': '1633625411845345280'}]	709019843664609280	en	3313	0	0	0	0		
78	@Pwrfulwoman2 @Ikennect @GreyLady45 @CEcoupe @PeriklesGREAT @SusanGPatriot @libhunter92 @actionforlifeFL @marburell @Rammie24 @TheGrayRider @KentuckyRain45 @NolaCookPatriot @TAG2335 @FinFan4Trump @C_Hubert_63 @cg59runner @TXpatriot777USA @PecanC8 OBAMA PULLS THE STRINGS~MAGA~We The People~Followers of Jesus Christ Our Lord &amp; Saviour~American Patriotic Nationalist ~ Donald J Trump ~Marjorie Taylor Greene~ Lauren Boebert ~Kristi Noem ~Mayra Flores~Sen. Marsha Blackburn~ https://t.co/K5DfXASbiZ	1633672415258755073	2023-03-09T03:33:50.000Z	everyone	['1633672415258755073']	1633261531851890688	[{'type': 'replied_to', 'id': '1633261531851890688'}]	1519132288520400896	en	0	0	0	0	0	1518707102440640515	
79	"@TheLastWord @RepSwalwell @Lawrence ""The only queers who don't want to disclose the truth, are democrats with something to hide."" - Barack Hussein Obama. Accused murders are not murderers = #Law101; a National Divorce need not become a war if democrats surrender; insurrectionists carry assault weapons, not flags! https://t.co/FpmtvirKVG"	1633672413773807616	2023-03-09T03:33:50.000Z	everyone	['1633672413773807616']	1633595953352683520	[{'type': 'replied_to', 'id': '1633595953352683520'}]	1622727489826045956	en	0	1	0	0	1	182503471	
