	lang	reply_settings	author_id	created_at	referenced_tweets	conversation_id	id	text	edit_history_tweet_ids	public_metrics.retweet_count	public_metrics.reply_count	public_metrics.like_count	public_metrics.quote_count	public_metrics.impression_count	in_reply_to_user_id	geo.place_id
11	en	everyone	2362770600	2023-03-09T02:26:29.000Z	[{'type': 'retweeted', 'id': '1633546143337680897'}]	1633655467124686849	1633655467124686849	RT @OccupyDemocrats: BREAKING: MAGA Gov. Sarah Huckabee Sanders is set to roll back child labor protections by signing a law to remove the…	['1633655467124686849']	2424	0	0	0	0		
12	en	everyone	26036812	2023-03-09T02:26:29.000Z	[{'type': 'replied_to', 'id': '1633654031800504321'}]	1633488176990830592	1633655466839384065	"@DonMahCheeseMo @Whatisup79 @sportyschrades @katybblue @LocalHoboSkeeve @real8BuckChuck @JoJoFromJerz Yes. You're typical of Ultra MAGAs to have zero evidence or backing for their assertions other than ""your feelings"" or ""what Donny, Maggie, Tucker, Sean, NewsMax or some YouTube random"" told you. 

Just once I'd love to see a MAGA IDIOT like you back up your bullshit."	['1633655466839384065']	0	0	0	0	0	989997963903582209	
13	en	everyone	836721050008313857	2023-03-09T02:26:29.000Z	[{'type': 'replied_to', 'id': '1625982842923524096'}]	1625982842923524096	1633655466260676615	"@bdonesem @smrose29 @WenMaMa2 @NoletDiana @TomaisMac @james_pidd @MarilynLavala @bitemecommies @Pwrfulwoman2 @PeriklesGREAT @WeStand4theFlag @PositiveAbraham @Josheb1992 @_LibertyLady @LemayTulsi @AngusY100 @GigaBeers @JacabiteRebel @oh_laa_laa Thank you for including me Al-Faisal @bdonesem.

#AllLivesMatter #BidenBorderCrisis #CanadaIsBroken #DemocratsHateAmerica #DrainTheSwamp #GoWokeGoBroke #ImpeachBiden #LockHerUp #MAGA #ProLife #TrudeauDestroyingCanada #TrudeauMustGo #TrudeauOUT #Trump2024 #TrumpWon #UltraMAGA 

🇺🇸 https://t.co/YIPn67I3Se"	['1633655466260676615']	0	0	0	0	0	137144052	
14	en	everyone	861524072	2023-03-09T02:26:27.000Z	[{'type': 'retweeted', 'id': '1633575645581307904'}]	1633655456550866944	1633655456550866944	"RT @OccupyDemocrats: BREAKING: Former GOP Rep. Liz Cheney says ""bring it on"" to rumors that MAGA Republicans plan to launch their own inves…"	['1633655456550866944']	813	0	0	0	0		
15	en	everyone	1384544266899410944	2023-03-09T02:26:23.000Z	[{'type': 'retweeted', 'id': '1633545031121350656'}]	1633655441765851137	1633655441765851137	"RT @benwikler: 🚨 RED ALERT: A MAGA PAC just reserved $3.2 million in TV ads for the April 4 Wisconsin Supreme Court race.

For the next two…"	['1633655441765851137']	1324	0	0	0	0		
16	en	everyone	1519132288520400896	2023-03-09T02:26:22.000Z	[{'type': 'replied_to', 'id': '1633650659756060674'}]	1633650659756060674	1633655436791668739	@Lady2Silky OVER AND OVER AND OVER AGAIN~MAGA~We The People~Followers of Jesus Christ Our Lord &amp; Saviour~American Patriotic Nationalist ~ Donald J Trump ~Marjorie Taylor Greene~ Lauren Boebert ~Kristi Noem ~Mayra Flores~Sen. Marsha Blackburn~	['1633655436791668739']	0	0	0	0	0	1294803797882155009	
17	en	everyone	2263537004	2023-03-09T02:26:21.000Z	[{'type': 'retweeted', 'id': '1633637207775883265'}]	1633655432307769346	1633655432307769346	"RT @ElectBlue2022: Every time I listen to these MAGA politicians and their cult members, insanity theory comes to my mind !

#DemVoice1"	['1633655432307769346']	26	0	0	0	0		
18	en	everyone	1478012357951508484	2023-03-09T02:26:20.000Z	[{'type': 'retweeted', 'id': '1633621571205050369'}]	1633655428767793152	1633655428767793152	RT @leslibless: Here is Antifa changing their clothes into the ‘MAGA look’ on J6! https://t.co/LKI3QzLUQi	['1633655428767793152']	576	0	0	0	0		
19	en	everyone	985667565392465921	2023-03-09T02:26:20.000Z	[{'type': 'replied_to', 'id': '1633625251559997441'}]	1633625251559997441	1633655427622748162	"@RepNancyMace @GerryConnolly The Homegrown Radicalized Domestic Terrorist Organization MAGA put 8T on the National Deficit in 4 years under Donald J Trump.

That’s 25% of the entire National Deficit. Never called it reckless spending.

Now they want to bankrupt America by not raising the debt ceiling. https://t.co/08OyjEwl5h"	['1633655427622748162']	0	0	0	0	0	1343597700542038017	
20	en	everyone	1344712581332815872	2023-03-09T02:26:19.000Z	[{'type': 'retweeted', 'id': '1633546143337680897'}]	1633655422128193536	1633655422128193536	RT @OccupyDemocrats: BREAKING: MAGA Gov. Sarah Huckabee Sanders is set to roll back child labor protections by signing a law to remove the…	['1633655422128193536']	2424	0	0	0	0		
21	en	everyone	935973480776065024	2023-03-09T02:26:18.000Z	[{'type': 'retweeted', 'id': '1633570500583776257'}]	1633655421272571912	1633655421272571912	RT @CalltoActivism: The Wisconsin Supreme Court stopped Trump from overturning the election by ONE VOTE and this week, a MAGA PAC dropped $…	['1633655421272571912']	490	0	0	0	0		
22	en	everyone	817652	2023-03-09T02:26:18.000Z		1633655420568092673	1633655420568092673	"MAGA hoaxer Jacob Wohl found to have violated the KKK Act by federal judge (@fawfulfan / Raw Story)

https://t.co/JJX62Seuas
https://t.co/cK8zpQpReP"	['1633655420568092673']	0	0	0	0	1		
23	en	everyone	1292476725977387010	2023-03-09T02:26:18.000Z	[{'type': 'retweeted', 'id': '1633622985033523208'}]	1633655418001014785	1633655418001014785	"RT @TommasinaResist: Mississippi! Support @BrandonPresley for governor. You can do so much better than MAGA! 
#FreshResists
#DemVoice1"	['1633655418001014785']	45	0	0	0	0		
24	en	everyone	826226272418283520	2023-03-09T02:26:16.000Z	[{'type': 'retweeted', 'id': '1633545031121350656'}]	1633655412468719617	1633655412468719617	"RT @benwikler: 🚨 RED ALERT: A MAGA PAC just reserved $3.2 million in TV ads for the April 4 Wisconsin Supreme Court race.

For the next two…"	['1633655412468719617']	1324	0	0	0	0		
25	en	everyone	698876319698911232	2023-03-09T02:26:16.000Z		1633655409126019073	1633655409126019073	These two need jail time and even that won't stop them. https://t.co/nPI4rzm5P3	['1633655409126019073']	0	0	0	0	0		
26	en	everyone	397397647	2023-03-09T02:26:15.000Z	[{'type': 'retweeted', 'id': '1633610944302714881'}]	1633655408517697538	1633655408517697538	RT @ProjectLincoln: “We also agree with what Fox News’s own attorneys and executives have now repeatedly stressed in multiple courts of law…	['1633655408517697538']	416	0	0	0	0		
27	en	everyone	1440088344348672003	2023-03-09T02:26:14.000Z	[{'type': 'retweeted', 'id': '1633600197602476033'}]	1633655400754184192	1633655400754184192	RT @OccupyDemocrats: BREAKING: The GOP campaign aide who accused MAGA Republican heavyweight Matt Schlapp of sexual battery comes forward t…	['1633655400754184192']	665	0	0	0	0		
28	en	everyone	1141903590425948160	2023-03-09T02:26:13.000Z	[{'type': 'retweeted', 'id': '1633521425372913675'}]	1633655399982460928	1633655399982460928	RT @RonFilipkowski: While they relentlessly shake down Grandma MAGA for a monthly cut of her social security checks, people like Steve Bann…	['1633655399982460928']	339	0	0	0	0		
29	en	everyone	1339672246776967168	2023-03-09T02:26:13.000Z	[{'type': 'retweeted', 'id': '1633519309967302659'}]	1633655398753529861	1633655398753529861	RT @SenWarren: I'm calling for answers after reports indicated that @Walgreens would not dispense medication abortion in response to threat…	['1633655398753529861']	321	0	0	0	0		
30	en	everyone	1936745762	2023-03-09T02:26:13.000Z	[{'type': 'replied_to', 'id': '1633655331438952448'}]	1633247209826435073	1633655396979097600	@SD_MAGA_AMMO @bernardog1999 @wadadli_albany @MikeNordon @AugustCohen4 @charliekirk11 You are seriously delusional.	['1633655396979097600']	0	0	0	0	0	1936745762	
31	en	everyone	48339984	2023-03-09T02:26:13.000Z	[{'type': 'retweeted', 'id': '1633589926817316864'}]	1633655396551503873	1633655396551503873	RT @jstrandt: @1972DFG Not a single gun in that crowd and NOBODY is screaming kill members of congress. It was open to the public. The Capi…	['1633655396551503873']	6	0	0	0	0		
32	en	everyone	1401391995197743107	2023-03-09T02:26:12.000Z	[{'type': 'retweeted', 'id': '1633631852924731392'}]	1633655395523743745	1633655395523743745	RT @ninaturner: There were more Democratic “YEA” votes and more GOP “NAY” votes, but apparently supporting the “YEA” position is MAGA??🤔 ht…	['1633655395523743745']	34	0	0	0	0		
33	en	everyone	1144009209924599808	2023-03-09T02:26:11.000Z	[{'type': 'replied_to', 'id': '1633525887332401153'}]	1633525887332401153	1633655391300231168	"@Liz_Cheney @HouseGOP U know all your witnesses were PAID OFF!!!!!as proved by the firing of the ""maga""cop&amp;the woman cop getting a boost to her career for being a lying turncoat traitor!!!STFU LIZZZZZZ!!!!!"	['1633655391300231168']	0	0	0	0	0	98471035	
34	en	everyone	3241199109	2023-03-09T02:26:11.000Z	[{'type': 'retweeted', 'id': '1632827186628513793'}]	1633655390498848768	1633655390498848768	RT @real_Gary_W: @ScottPresler @realstewpeters You are a Patriot Scott and the Country and Real MAGA knows it. Forgive my words but the wor…	['1633655390498848768']	4	0	0	0	0		
35	en	everyone	31897231	2023-03-09T02:26:11.000Z	[{'type': 'retweeted', 'id': '1633576904434520064'}]	1633655390465323008	1633655390465323008	RT @IndivisibleVent: Wanna help take back the House in '24? #Indivisible is targeting 18 districts where Biden won in 2020, but Rs were ele…	['1633655390465323008']	39	0	0	0	0		
36	en	everyone	3193157344	2023-03-09T02:26:11.000Z	[{'type': 'retweeted', 'id': '1633621571205050369'}]	1633655389324541953	1633655389324541953	RT @leslibless: Here is Antifa changing their clothes into the ‘MAGA look’ on J6! https://t.co/LKI3QzLUQi	['1633655389324541953']	576	0	0	0	0		
37	en	everyone	844058946956656640	2023-03-09T02:26:10.000Z	[{'type': 'retweeted', 'id': '1633514424110653441'}]	1633655387709911041	1633655387709911041	"RT @LJMW169: #PierrePoilievreIsLyingToYou 
Pierre Poilievre is a narcissistic pathological liar.
He is a trump-wanna-be following the #MAGA…"	['1633655387709911041']	30	0	0	0	0		
38	en	everyone	1498865699216928772	2023-03-09T02:26:10.000Z	[{'type': 'retweeted', 'id': '1633640455295455238'}]	1633655387361533952	1633655387361533952	RT @nkanow: Trump KNEW he lost to Biden &amp; he tried everything he could to fuck things up before he left the WH. He was malicious, vengeful…	['1633655387361533952']	9	0	0	0	0		
39	en	everyone	1315466091251019776	2023-03-09T02:26:10.000Z	[{'type': 'replied_to', 'id': '1633520311311245318'}]	1633520311311245318	1633655385625092096	"@dbongino Nope, just Fox / Maga pumpers lying to you again, trying to whitewash and cover up a mob attack against the Government.

Why? Cause they don't give a crap about the Country or if you know the truth. Profits are at an all time high for them and they're trying to milk it longer."	['1633655385625092096']	0	0	0	0	1	232901331	
40	en	everyone	985667565392465921	2023-03-09T02:26:08.000Z	[{'type': 'replied_to', 'id': '1633570355028844544'}]	1633570355028844544	1633655378926870531	"@PeteSessions The Homegrown Radicalized Domestic Terrorist Organization MAGA put 8T on the National Deficit in 4 years under Donald J Trump.

That’s 25% of the entire National Deficit. Never called it reckless spending.

Now they want to bankrupt America by not raising the debt ceiling. https://t.co/6jr36C5TxO"	['1633655378926870531']	0	0	0	0	0	24735461	
41	en	everyone	415224570	2023-03-09T02:26:08.000Z	[{'type': 'retweeted', 'id': '1633654209940803586'}]	1633655377915944960	1633655377915944960	RT @mrsmaisy: @MAGA_Translator @CarrieAMaze23 @Jerseycy11 @HamRadioJoe @Jay_see_see @ThereseOSulliv2 @SmartUSAPat1 @Julie_NoNumbers @AngryF…	['1633655377915944960']	1	0	0	0	0		
42	en	everyone	1508971222838611969	2023-03-09T02:26:07.000Z	[{'type': 'quoted', 'id': '1633140012530188288'}]	1633655373260558336	1633655373260558336	"#AshliBabbittWasATerrorist and she can #EatShit in Hell!
#Fuck #MAGA https://t.co/vq8HfhSLKC"	['1633655373260558336']	0	0	0	0	0		
43	en	everyone	1547881598464323584	2023-03-09T02:26:06.000Z	[{'type': 'replied_to', 'id': '1633648230457282560'}]	1633648230457282560	1633655369720565760	@atrupar Mullin is a scumbag that has 0 facts and gets tough when he gets humiliated.  🤣 🤣 🤣 🤣 🤣 TYPICAL MAGA LOSER!!!	['1633655369720565760']	0	0	0	0	1	288277167	
44	en	everyone	1580772016541634562	2023-03-09T02:26:06.000Z	[{'type': 'retweeted', 'id': '1633546143337680897'}]	1633655368910880769	1633655368910880769	RT @OccupyDemocrats: BREAKING: MAGA Gov. Sarah Huckabee Sanders is set to roll back child labor protections by signing a law to remove the…	['1633655368910880769']	2424	0	0	0	0		
45	en	everyone	702109218	2023-03-09T02:26:05.000Z	[{'type': 'retweeted', 'id': '1633546143337680897'}]	1633655366830510082	1633655366830510082	RT @OccupyDemocrats: BREAKING: MAGA Gov. Sarah Huckabee Sanders is set to roll back child labor protections by signing a law to remove the…	['1633655366830510082']	2424	0	0	0	0		
46	en	everyone	848329840864276480	2023-03-09T02:26:05.000Z	[{'type': 'retweeted', 'id': '1633620156516532226'}]	1633655365509472256	1633655365509472256	"RT @FrankHart77: @FrankHart77 it's a rising time! Follow your conductor! 
@ThomasaMArnold1 
@Maga_Mike_FL 
@Bostonbama84 
@RedeCara_ 
@NONO…"	['1633655365509472256']	22	0	0	0	0		
47	en	everyone	3152024760	2023-03-09T02:26:04.000Z	[{'type': 'retweeted', 'id': '1633444947352330241'}]	1633655362405449733	1633655362405449733	RT @JonathanTurley: The Fox footage raises new questions about the Chansley case and whether the length of his sentence was more about his…	['1633655362405449733']	442	0	0	0	0		
48	en	everyone	150378276	2023-03-09T02:26:04.000Z	[{'type': 'retweeted', 'id': '1633643511210975232'}]	1633655360828370947	1633655360828370947	RT @BillKristol: “Embarrassing as it must be, they forge forward. As their reward, Fox enjoys continued ratings dominance. Carlson’s first…	['1633655360828370947']	33	0	0	0	0		
49	en	everyone	1608654302242824194	2023-03-09T02:26:03.000Z	[{'type': 'retweeted', 'id': '1633569264488820736'}]	1633655355229057025	1633655355229057025	RT @OccupyDemocrats: BREAKING: Speaker Kevin McCarthy spits in the face of Ukraine's heroic President Zelensky by refusing his invitation t…	['1633655355229057025']	706	0	0	0	0		
50	en	everyone	2458164877	2023-03-09T02:26:02.000Z	[{'type': 'retweeted', 'id': '1633546143337680897'}]	1633655352691490817	1633655352691490817	RT @OccupyDemocrats: BREAKING: MAGA Gov. Sarah Huckabee Sanders is set to roll back child labor protections by signing a law to remove the…	['1633655352691490817']	2424	0	0	0	0		
51	en	everyone	803672700	2023-03-09T02:26:00.000Z	[{'type': 'retweeted', 'id': '1633573309819523073'}]	1633655343749234689	1633655343749234689	RT @POTUS: If MAGA Republicans in Congress get their way, 40 million Americans could lose health coverage. https://t.co/aaMt2K3NBP	['1633655343749234689']	834	0	0	0	0		
52	en	everyone	1495128743341342720	2023-03-09T02:26:00.000Z	[{'type': 'retweeted', 'id': '1633600197602476033'}]	1633655343694635008	1633655343694635008	RT @OccupyDemocrats: BREAKING: The GOP campaign aide who accused MAGA Republican heavyweight Matt Schlapp of sexual battery comes forward t…	['1633655343694635008']	665	0	0	0	0		
53	en	everyone	1574096740696920065	2023-03-09T02:26:00.000Z		1633655342679687170	1633655342679687170	"Trump Gets Flooded By Florida Crowd  #MAGA #TRUMP2024 #Trump

https://t.co/U8AoP6mvFO"	['1633655342679687170']	0	0	0	0	0		
54	en	everyone	4187200992	2023-03-09T02:25:58.000Z	[{'type': 'retweeted', 'id': '1633058319077195777'}]	1633655337386651650	1633655337386651650	"RT @POTUS: MAGA Republicans on the Hill say the only way to be serious about preserving Medicare is to cut it.

Well, I think they’re wrong…"	['1633655337386651650']	2768	0	0	0	0		
55	en	everyone	996210906093834240	2023-03-09T02:25:58.000Z	[{'type': 'retweeted', 'id': '1633600298664218624'}]	1633655335524114433	1633655335524114433	"RT @TomthunkitsMind: Trump and MAGA 
https://t.co/sGoc9o8nO3 02"	['1633655335524114433']	20	0	0	0	0		
56	en	everyone	1586853790304522240	2023-03-09T02:25:57.000Z	[{'type': 'retweeted', 'id': '1633644172145213448'}]	1633655333213327360	1633655333213327360	"RT @miguelifornia: @ChanelRion @OANN DeSantis kooks thinking MAGA will flip is hilarious

CRUZCREW 2.0 approaches
https://t.co/ZvpWmgrZ8s"	['1633655333213327360']	8	0	0	0	0		
57	en	everyone	1269309786635599873	2023-03-09T02:25:57.000Z	[{'type': 'retweeted', 'id': '1633133680653742080'}]	1633655333116694528	1633655333116694528	"RT @ForRuleOfLaw: @CREWcrew Prosecute pro-trump
fascists
aka GOP MAGA extremists 
aka #AmercanNaziParty
aka #GOPDomesticTerrorists for
Trum…"	['1633655333116694528']	47	0	0	0	0		
58	en	everyone	1936745762	2023-03-09T02:25:57.000Z	[{'type': 'replied_to', 'id': '1633654906002325505'}]	1633247209826435073	1633655331438952448	@SD_MAGA_AMMO @bernardog1999 @wadadli_albany @MikeNordon @AugustCohen4 @charliekirk11 It didn't stop shit. They did it all anyway.	['1633655331438952448']	0	1	0	0	0	1412603278676922369	
59	en	everyone	1396169199219773443	2023-03-09T02:25:57.000Z	[{'type': 'retweeted', 'id': '1633600197602476033'}]	1633655329849331713	1633655329849331713	RT @OccupyDemocrats: BREAKING: The GOP campaign aide who accused MAGA Republican heavyweight Matt Schlapp of sexual battery comes forward t…	['1633655329849331713']	665	0	0	0	0		
60	en	everyone	453638875	2023-03-09T02:25:56.000Z	[{'type': 'retweeted', 'id': '1633594723561766914'}]	1633655328632889344	1633655328632889344	RT @stickyfacts: @CryptidPolitics Are you and President Wannabes so delusional to believe that your attempts to disparage Our President Tru…	['1633655328632889344']	3	0	0	0	0		
61	en	everyone	589390524	2023-03-09T02:25:56.000Z	[{'type': 'retweeted', 'id': '1633545031121350656'}]	1633655327131410432	1633655327131410432	"RT @benwikler: 🚨 RED ALERT: A MAGA PAC just reserved $3.2 million in TV ads for the April 4 Wisconsin Supreme Court race.

For the next two…"	['1633655327131410432']	1324	0	0	0	0		
62	en	everyone	798885441344774144	2023-03-09T02:25:56.000Z	[{'type': 'retweeted', 'id': '1633487101600620546'}]	1633655325399085058	1633655325399085058	"RT @RepJeffries: Extreme MAGA Republicans are focused on the privileged few.

House Dems will continue to build an economy that works for a…"	['1633655325399085058']	612	0	0	0	0		
63	en	everyone	1096914824	2023-03-09T02:25:55.000Z	[{'type': 'retweeted', 'id': '1633172865498624009'}]	1633655324665344000	1633655324665344000	RT @ChinaKatSun: @washingtonpost Also love the MAGA meltdowns in my mentions. https://t.co/qEncVkJw2j	['1633655324665344000']	1	0	0	0	0		
64	en	everyone	1425621682253819911	2023-03-09T02:25:55.000Z	[{'type': 'retweeted', 'id': '1633622985033523208'}]	1633655321041440771	1633655321041440771	"RT @TommasinaResist: Mississippi! Support @BrandonPresley for governor. You can do so much better than MAGA! 
#FreshResists
#DemVoice1"	['1633655321041440771']	45	0	0	0	0		
65	en	everyone	54775783	2023-03-09T02:25:54.000Z	[{'type': 'replied_to', 'id': '1633652574405505029'}]	1633652574405505029	1633655318889766915	@allinwithchris @TheRickWilson Can you say “state media” There’s no barrier whatsoever between Fox “News” &amp; the R party, certainly not the MAGA part of it, which is nearly all of it at this point. Not only is Fox the propaganda arm of the party it also can dictate &amp; influence policy as we see here. It’s nuts.	['1633655318889766915']	0	0	0	0	1	1286312880	
66	en	everyone	749931649945767936	2023-03-09T02:25:54.000Z	[{'type': 'retweeted', 'id': '1633510935259119618'}]	1633655318440812549	1633655318440812549	"RT @AndrewPatriot_: If you ''voted'' for Biden YOU are PART of the PROBLEM!

DEMOCRATS = ENEMY OF THE PEOPLE!

👉Retweet if you agree with m…"	['1633655318440812549']	410	0	0	0	0		
67	en	everyone	1033716199417364481	2023-03-09T02:25:54.000Z	[{'type': 'replied_to', 'id': '1633647817490038786'}]	1633647817490038786	1633655317044101120	@RonnyJacksonTX In your last 1,000 tweets, more than 900 were just MAGA hate talking points. You have nothing to add that is good or decent. Ever.	['1633655317044101120']	0	0	0	0	1	1201953403099893760	
68	en	everyone	921317295800176641	2023-03-09T02:25:53.000Z	[{'type': 'retweeted', 'id': '1633546143337680897'}]	1633655316209446912	1633655316209446912	RT @OccupyDemocrats: BREAKING: MAGA Gov. Sarah Huckabee Sanders is set to roll back child labor protections by signing a law to remove the…	['1633655316209446912']	2424	0	0	0	0		
69	en	everyone	2635635498	2023-03-09T02:25:53.000Z	[{'type': 'retweeted', 'id': '1633635754361618436'}]	1633655315244933122	1633655315244933122	RT @kathrynresister: MAGA Republican terrorists do their terrorism in broad daylight and don't give a shit what anyone thinks. They will co…	['1633655315244933122']	27	0	0	0	0		
70	en	everyone	14556182	2023-03-09T02:25:53.000Z	[{'type': 'retweeted', 'id': '1633639243934494720'}]	1633655315232112642	1633655315232112642	RT @BLMMF1: @realTuckFrumper So she now admits that the people at the capital were in fact Real Trump supporters &amp; not ANTIFA or BLM groups…	['1633655315232112642']	1	0	0	0	0		
71	en	everyone	1519333503552348162	2023-03-09T02:25:53.000Z	[{'type': 'retweeted', 'id': '1633644425027960832'}]	1633655313185243136	1633655313185243136	RT @AlaskaPatriot1: @Doot2471 @DannyMack100 @PaulMer53 @BB_Scats @Bree1914 @keith0sta @DatoFreddy @WhalenMona @enaidre @JohnPot259 @tooosun…	['1633655313185243136']	1	0	0	0	0		
72	en	everyone	22818501	2023-03-09T02:25:52.000Z	[{'type': 'retweeted', 'id': '1633571540448034816'}]	1633655311381983234	1633655311381983234	RT @CliffW08950229: You ain’t lying Mike. It’s a damn shame what MAGA is trying to turn this country into.	['1633655311381983234']	6	0	0	0	0		
73	en	everyone	1724613062	2023-03-09T02:25:51.000Z	[{'type': 'retweeted', 'id': '1633405082921316352'}]	1633655306830901248	1633655306830901248	"RT @lance_cotten: G.M. ☀️ it's Wednesday 
#Blueparty people 💙
It’s A FB PARTY 🥳
🚫MAGA Allowed
Meet new friends 

🚨Follow @omsale 

Party Ru…"	['1633655306830901248']	353	0	0	0	0		
74	en	everyone	985667565392465921	2023-03-09T02:25:51.000Z	[{'type': 'replied_to', 'id': '1633592146535100418'}]	1633592146535100418	1633655306260561921	"@RepMarkGreen The Homegrown Radicalized Domestic Terrorist Organization MAGA put 8T on the National Deficit in 4 years under Donald J Trump.

That’s 25% of the entire National Deficit. Never called it reckless spending.

Now they want to bankrupt America by not raising the debt ceiling. https://t.co/TLp89bOLPo"	['1633655306260561921']	0	0	0	0	0	1080477288955826176	
75	en	everyone	1557689886135783429	2023-03-09T02:25:51.000Z	[{'type': 'retweeted', 'id': '1633602769386106880'}]	1633655306176671745	1633655306176671745	"RT @emma6USA: Wednesday Blessings🙏
@Bellamari8mazz @LindaNTx @SirFlyzalot @1mir_r @JanetTX_Blessed @JanetFr11616397 @laura_7771 @PriamtheB…"	['1633655306176671745']	117	0	0	0	0		
76	en	everyone	2188649022	2023-03-09T02:25:51.000Z	[{'type': 'retweeted', 'id': '1633600197602476033'}]	1633655305505591299	1633655305505591299	RT @OccupyDemocrats: BREAKING: The GOP campaign aide who accused MAGA Republican heavyweight Matt Schlapp of sexual battery comes forward t…	['1633655305505591299']	665	0	0	0	0		
77	en	everyone	1483454849547186186	2023-03-09T02:25:51.000Z	[{'type': 'retweeted', 'id': '1633527252318138370'}]	1633655304997969920	1633655304997969920	"RT @Ham_to_the_Bone: I know I have eyes that lie according to the left......buuuut.

I swear I see MAGA patriots stopping some people in al…"	['1633655304997969920']	16	0	0	0	0		
78	en	everyone	1497004032526733313	2023-03-09T02:25:50.000Z	[{'type': 'retweeted', 'id': '1633432287059558402'}]	1633655302783475715	1633655302783475715	RT @RonFilipkowski: Part of the reason why he is failing to draw anyone for his events is right-wingers have figured out he has nothing to…	['1633655302783475715']	1837	0	0	0	0		
79	en	everyone	260687290	2023-03-09T02:25:49.000Z	[{'type': 'retweeted', 'id': '1633621571205050369'}]	1633655297779847169	1633655297779847169	RT @leslibless: Here is Antifa changing their clothes into the ‘MAGA look’ on J6! https://t.co/LKI3QzLUQi	['1633655297779847169']	576	0	0	0	0		
