Column1	Unnamed: 0	conversation_id	lang	reply_settings	created_at	clean_text	our_label	text	author_id	referenced_tweets	id	edit_history_tweet_ids	public_metrics.retweet_count	public_metrics.reply_count	public_metrics.like_count	public_metrics.impression_count	in_reply_to_user_id	geo.place_id	withheld.copyright	withheld.country_codes	geo.coordinates.type	geo.coordinates.coordinates	Column3
7919	12209	1.63396E+18	en	everyone	3/9/2023 17:49	use chatgpt siri using simple iphone shortcut http co corg wn	Neutral	You can now use ChatGPT with Siri using this simple iPhone shortcut https://t.co/cORg2wN4Up	15552861		1.63396E+18	['1633963241398497282']	0	0	0	7							
8029	12319	1.63396E+18	en	everyone	3/9/2023 17:45	rt nocodemba new course announcement openai released chatgpt api mean build chat bot chatgpt technology	Neutral	"RT @nocodemba: ?NEW COURSE ANNOUNCEMENT?

OpenAI released the ChatGPT API.

That means you can build a chat bot with ChatGPT technology.

T…"	484708272	"[{'type': 'retweeted', 'id': '1633826317593612288'}]"	1.63396E+18	['1633962231900585985']	61	0	0	0							
8349	12639	1.63375E+18	en	everyone	3/9/2023 17:33	acynthia hi like follower put new version http co epq vyiil chatgpt stable diffusion eleven lab hosting integration http co n vjqpp e	Neutral	"@Acynthia_ Hi, I only have like 100 followers. Just put out the new version of https://t.co/7EpQ7vyIiL with chatgpt+stable diffusion+eleven labs+hosting integration: https://t.co/n63VJqPp7E"	1.60171E+18	"[{'type': 'replied_to', 'id': '1633746769715826688'}]"	1.63396E+18	['1633959183782477827']	0	0	0	7	1.26603E+18						
8697	12987	1.63396E+18	en	everyone	3/9/2023 17:21	rt benioff chatgpt salesforce using generative ai create einsteingpt amp slackgpt service cloud ceo clarashih amp andrewrsor	Neutral	RT @Benioff: ChatGPT: How Salesforce is using generative AI to create EinsteinGPT &amp; SlackGPT. Service Cloud CEO ?@clarashih? &amp; ?@andrewrsor…	42645874	"[{'type': 'retweeted', 'id': '1633897504780722176'}]"	1.63396E+18	['1633956221316386816']	21	0	0	0							
9019	13309	1.63395E+18	en	everyone	3/9/2023 17:11	con chatgpt mandate pensione siri come fare http co msb vadfzx http co jpy jbpssv	Neutral	"Con ChatGPT mandate in pensione Siri, come fare - https://t.co/msB6VadfZX https://t.co/jPy1jBPSsv"	73986760		1.63395E+18	['1633953730516377600']	0	0	0	3							
9028	13318	1.63395E+18	en	everyone	3/9/2023 17:11	rt mtaibbi chatgpt testified would called direct threat lol	Negative	"RT @mtaibbi: If ChatGPT testified to this it would have been called a “direct threat,” too lol."	330142548	"[{'type': 'retweeted', 'id': '1633934237815431168'}]"	1.63395E+18	['1633953640800038914']	455	0	0	0							
9154	13444	1.63395E+18	en	everyone	3/9/2023 17:07	chatgpt rlly saved live	Positive	chatgpt rlly saved my live????	1.22959E+18		1.63395E+18	['1633952769769115649']	0	1	0	6							
9363	13653	1.63395E+18	en	everyone	3/9/2023 17:02	video dataenrichment minute openprise http co kitwvkvsf minute see ad select companylogoapi chatgpt cannot http co hqg qz eox	Negative	"Video : #DataEnrichment: A minute with Openprise ?? ?? - https://t.co/KITWVKVsf8 #minutes ???? See the ad, select the #CompanyLogoAPI that does what  #chatGPT cannot do https://t.co/hQg3qz7Eox"	3004245990		1.63395E+18	['1633951309459013633']	0	0	0	8							
9790	14080	1.63395E+18	en	everyone	3/9/2023 16:48	rt alexisbuilding artificial intelligence may break capitalism earlier week openai chatgpt dall e ceo sam altman broke	Negative	"RT @AlexIsBuilding: Artificial intelligence may “Break Capitalism”

Earlier this week, OpenAi (ChatGPT/Dall-E) CEO Sam Altman,

Broke down…"	1.45628E+18	"[{'type': 'retweeted', 'id': '1633914646041337857'}]"	1.63395E+18	['1633947912848719873']	18	0	0	0							
10133	14423	1.63395E+18	en	everyone	3/9/2023 16:38	google dust failed google playbook fight chatgpt http co nykflwnemg	Negative	Google dusts off the failed Google+ playbook to fight ChatGPT https://t.co/NYkFlWnEmG	1.52022E+18		1.63395E+18	['1633945378797289472']	0	0	0	5							
10414	14704	1.63394E+18	en	everyone	3/9/2023 16:30	office ombudsperson seen visitor since opening door ombudsperson sarah klaper said wednesday faculty senate meeting http co jda ksj	Neutral	"The Office of the Ombudsperson has seen 361 visitors since opening its doors, Ombudsperson Sarah Klaper said at Wednesday’s Faculty Senate meeting.
https://t.co/1JdA25ksJ7"	23012995		1.63394E+18	['1633943292340756480']	0	0	1	547							
10467	14757	1.63394E+18	en	everyone	3/9/2023 16:28	rt aiape coin aiape presale announcement listing pinksale th mar utc fair launch http co rjgy e fus kyc audi	Neutral	"RT @AIApe_Coin: $AIAPE Presale Announcement ??

Listing on #Pinksale 15th Mar at 13:00UTC

??Fair Launch??
https://t.co/RjGY3E7FUs

? KYC+Audi…"	1.32483E+18	"[{'type': 'retweeted', 'id': '1633471884519182336'}]"	1.63394E+18	['1633942874298671104']	2858	0	0	0							
10718	15008	1.63394E+18	en	everyone	3/9/2023 16:21	rt mtaibbi chatgpt testified would called direct threat lol	Negative	"RT @mtaibbi: If ChatGPT testified to this it would have been called a “direct threat,” too lol."	1.22491E+18	"[{'type': 'retweeted', 'id': '1633934237815431168'}]"	1.63394E+18	['1633941000279269380']	455	0	0	0							
10782	15072	1.63394E+18	en	everyone	3/9/2023 16:19	chatgpt language model training current give time http co w izkdq	Neutral	chatgpt's language model training is only current to 2021. give it time... https://t.co/w04IzkdQ84	330584032	"[{'type': 'quoted', 'id': '1633934237815431168'}]"	1.63394E+18	['1633940561068433409']	0	0	0	6							
11702	15992	1.63367E+18	en	everyone	3/8/2023 22:14	rt senatedems would cataclysmic moody chief economist mark zandi lay cost maga republican forcing u	Negative	"RT @SenateDems: It would be “cataclysmic”

Moody’s Chief Economist Mark Zandi lays out the cost of MAGA Republicans forcing a ??????????-???????? U.…"	1.32558E+18	"[{'type': 'retweeted', 'id': '1633226642779693058'}]"	1.63367E+18	['1633667495599955969']	120	0	0	0							
12242	16532	1.63367E+18	en	everyone	3/8/2023 22:30	rt astraidogma moaenjoyer obama literally oval office bm live performance cmiyc nut	Neutral	RT @astraIdogma: @moaenjoyer obama was literally in the oval office while bm was doing that live performance of cmiyc that’s nuts to me	1.53248E+18	"[{'type': 'retweeted', 'id': '1633671390707744770'}]"	1.63367E+18	['1633671589433872384']	1	0	0	0							
12563	16853	1.63367E+18	en	everyone	3/8/2023 22:24	rt michelleobama internationalwomensday hope read piece amal clooney melindagates time w	Neutral	"RT @MichelleObama: This #InternationalWomensDay, I hope you’ll read my piece with Amal Clooney and @MelindaGates in @TIME about how we’re w…"	152362351	"[{'type': 'retweeted', 'id': '1633467831319769089'}]"	1.63367E+18	['1633669967542468608']	1232	0	0	0							
12672	16962	1.63332E+18	en	everyone	3/8/2023 22:21	proud obama allinwithchris brianbeutler realize became septic right happened early imagine thing happened traveling hospital nearby would died	Negative	@Proud_of_Obama @allinwithchris @brianbeutler You realize she became septic right? What if it happened early? Imagine if the same thing happened when traveling and there wasn't a hospital nearby. She would have died. That's why not.	45004244	"[{'type': 'replied_to', 'id': '1633467799141224448'}]"	1.63367E+18	['1633669367194943489']	0	0	0	4	861794238						
12940	17230	1.63359E+18	en	everyone	3/8/2023 22:15	jules unknown really childish obama still control try divide country	Negative	@Jules31415 Unknown! Really! How childish Obama still has control to try and divide the country!	1.22507E+18	"[{'type': 'replied_to', 'id': '1633586577921245184'}]"	1.63367E+18	['1633667921120575490']	0	0	0	1	263547117						
13857	18147	1.63366E+18	en	everyone	3/8/2023 21:59	rt tomfitton obama knew clinton knew biden knew comey knew brennan knew mccabe knew strzok knew clapper knew schiff knew fbi knew	Neutral	RT @TomFitton: Obama knew. Clinton knew. Biden knew. Comey knew. Brennan knew. McCabe knew. Strzok knew.Clapper knew.Schiff knew.FBI knew.D…	164633995	"[{'type': 'retweeted', 'id': '1633625411845345280'}]"	1.63366E+18	['1633663804658667522']	3316	0	0	0							
14269	18559	1.63366E+18	en	everyone	3/8/2023 21:51	rt tomfitton obama knew clinton knew biden knew comey knew brennan knew mccabe knew strzok knew clapper knew schiff knew fbi knew	Neutral	RT @TomFitton: Obama knew. Clinton knew. Biden knew. Comey knew. Brennan knew. McCabe knew. Strzok knew.Clapper knew.Schiff knew.FBI knew.D…	1.3513E+18	"[{'type': 'retweeted', 'id': '1633625411845345280'}]"	1.63366E+18	['1633661880383275008']	3316	0	0	0							
14295	18585	1.63366E+18	en	everyone	3/8/2023 21:51	rt tomfitton obama knew clinton knew biden knew comey knew brennan knew mccabe knew strzok knew clapper knew schiff knew fbi knew	Neutral	RT @TomFitton: Obama knew. Clinton knew. Biden knew. Comey knew. Brennan knew. McCabe knew. Strzok knew.Clapper knew.Schiff knew.FBI knew.D…	2369277338	"[{'type': 'retweeted', 'id': '1633625411845345280'}]"	1.63366E+18	['1633661782211325953']	3316	0	0	0							
14323	18613	9.01233E+17	en	everyone	3/8/2023 21:51	nedorton marshallw norened trick ghost tmcs thereseosulliv byted wn moglirocks astragal dulcieburt norselegend hellosf jbizzy jalan michael angryfleas dogsdontliket againmothra shellyrkirchoff lostandlovinit godslightangel kengie dirk fasshauer hamradiojoe topps brianvogel tiberiusscitus najjar richard kimberlymckeeve debodonnell itisjustmebabe kevinoler drac huntersartwork annettetremain yourmomswatchin petermcavoy howienudet littlwritergir duhartkimberlie hrt alacilento bconnectedj tardigradejr rosegar tallnblonde ob benobie carignanabreu joebiden sure stay blinded false god biden finally admits obama put kid cage keep safe pj medium http co rdrpia yi	Neutral	"@nedorton @MarshallW73 @NoreneD39766667 @tRick_the_only @ghost321 @tmcs10 @ThereseOSulliv2 @ByteD0wn @MogliRocks @astragal @dulcieburt @375NorseLegend @hellosf77 @jbizzy6969 @JAlan21813286 @Michael073153 @AngryFleas @dogsdontliket @AgainMothra @ShellyRKirchoff @lostandlovinit @Godslightangel7 @Kengie91597487 @dirk_fasshauer @HamRadioJoe @topps1959 @8BrianVogel4 @TiberiusScitus @najjar_richard @KimberlyMcKeeve @DebOdonnell18 @itisjustmebabe @kevinoler @2_drac @HuntersArtWork @AnnetteTRemain @yourmomswatchin @PeterMcAvoy_ @howienudet @Littlwritergir1 @DuhartKimberlie @hrt6017 @alacilento1 @BconnectedJ @TardigradeJr @rosegar17673310 @tallnblonde1 @OB1Benobie @CarignanAbreu @JoeBiden Sure….stay blinded to your false god

Biden Finally Admits He and Obama Put ‘Kids in Cages’ but Only to ‘Keep Them Safe’ – PJ Media

https://t.co/5RDRPiA1yI"	290791716	"[{'type': 'replied_to', 'id': '1633661320829587457'}]"	1.63366E+18	['1633661648652185607']	1	3	2	13	1.41463E+18						
14476	18766	1.63366E+18	en	everyone	3/8/2023 21:47	rt boughruth beautiful shot michelle obama honor former first lady http co nasnwktegt	Negative	"RT @BoughRuth: Beautiful shot of Michelle Obama 
Honor to our former first Lady???? https://t.co/nasnwKtEgt"	1.46623E+18	"[{'type': 'retweeted', 'id': '1631750412524027912'}]"	1.63366E+18	['1633660871640592386']	56	0	0	0							
14821	19111	1.63366E+18	en	everyone	3/8/2023 21:40	rt tomfitton obama knew clinton knew biden knew comey knew brennan knew mccabe knew strzok knew clapper knew schiff knew fbi knew	Neutral	RT @TomFitton: Obama knew. Clinton knew. Biden knew. Comey knew. Brennan knew. McCabe knew. Strzok knew.Clapper knew.Schiff knew.FBI knew.D…	1.60941E+18	"[{'type': 'retweeted', 'id': '1633625411845345280'}]"	1.63366E+18	['1633659108950781952']	3316	0	0	0							
15202	19492	1.63366E+18	en	everyone	3/8/2023 21:33	rt tomfitton obama knew clinton knew biden knew comey knew brennan knew mccabe knew strzok knew clapper knew schiff knew fbi knew	Neutral	RT @TomFitton: Obama knew. Clinton knew. Biden knew. Comey knew. Brennan knew. McCabe knew. Strzok knew.Clapper knew.Schiff knew.FBI knew.D…	375726081	"[{'type': 'retweeted', 'id': '1633625411845345280'}]"	1.63366E+18	['1633657107038740482']	3317	0	0	0							
15341	19631	1.63366E+18	en	everyone	3/8/2023 21:30	rt timinhonolulu theory flynn passed obama forced retire three start resulting big loss	Negative	RT @TimInHonolulu: I have a theory that when Flynn was passed over by  Obama and forced to retire a three start resulting in a big loss of…	243478422	"[{'type': 'retweeted', 'id': '1633565367426752518'}]"	1.63366E+18	['1633656376726786049']	136	0	0	0							
16069	20359	1.63365E+18	en	everyone	3/8/2023 21:16	rt gregrubini obama joe biden amp john kerry ukraine ukraine holocaust kerry call maidan th	Neutral	"RT @GregRubini: 2) This is what OBAMA, Joe Biden &amp; John Kerry did in Ukraine, in 2014:
The Ukraine HOLOCAUST
(Kerry calls it ""Maidan"" in th…"	4066158731	"[{'type': 'retweeted', 'id': '1320445157775413255'}]"	1.63365E+18	['1633653000559538176']	601	0	0	0							
16157	20447	1.63357E+18	en	everyone	3/8/2023 21:15	lstargazer greg price eh would michael michelle obama	Neutral	"@LStargazer54 @greg_price11 Eh, that would have to be Michael ""Michelle"" Obama."	1.19391E+18	"[{'type': 'replied_to', 'id': '1633591571571507202'}]"	1.63365E+18	['1633652681037209601']	0	0	1	25	1.51596E+18						
16585	20875	1.63365E+18	en	everyone	3/8/2023 21:08	rt bill weimer ptrumpfortx support ukraine bush support ukraine kerry support ukraine biden support ukraine soros	Positive	"RT @Bill_Weimer_: @PTRUMPFORTX2020 WHY I DON'T
SUPPORT UKRAINE
Bush Supports Ukraine.
Kerry Supports Ukraine.
Biden Supports Ukraine.
Soros…"	1.51894E+18	"[{'type': 'retweeted', 'id': '1631990052304695298'}]"	1.63365E+18	['1633650937834110978']	33	0	0	0							
17831	22121	1.63368E+18	en	everyone	3/8/2023 22:46	rt margogontar okay know sleeping right thanks russia die hell	Negative	"RT @MargoGontar: Okay, I know why I am not sleeping right now  (thanks, russia die in hell) 

You?"	74933567	"[{'type': 'retweeted', 'id': '1633627107065511942'}]"	1.63368E+18	['1633675620172578819']	15	0	0	0							
17904	22194	1.63368E+18	en	everyone	3/8/2023 22:46	rt tuckercarlson measure medium total corruption one ever asks biden united state hoping accomplis	Negative	RT @TuckerCarlson: It’s a measure of our media’s total corruption that no one ever asks Biden what the United States is hoping to accomplis…	1.6058E+18	"[{'type': 'retweeted', 'id': '1628935118583910400'}]"	1.63368E+18	['1633675498265124866']	5266	0	0	0							
18302	22592	1.63367E+18	en	everyone	3/8/2023 22:43	rt dom lucre february russian economist valentin katasonov america besieged russia placing bio lab surrounding co	Neutral	"RT @dom_lucre: On February 28, 2022, Russian Economist Valentin Katasonov: 

“America Besieged Russia By Placing Bio-Labs In Surrounding Co…"	1.32886E+18	"[{'type': 'retweeted', 'id': '1633670000396435461'}]"	1.63367E+18	['1633674921565114368']	135	0	0	0							
18438	22728	1.63367E+18	en	everyone	3/8/2023 22:42	rt diamoundgirls check huge different donovan mcnabb card lot eagle http co jdoau oup ebay via ebay	Neutral	RT @diamoundgirls2: Check out ?? Huge 20 + different DONOVAN McNABB cards lot 2000 - 2009 all Eagles https://t.co/1JDoau0oUp #eBay via @eBay…	1.52656E+18	"[{'type': 'retweeted', 'id': '1631486955883036674'}]"	1.63367E+18	['1633674717507796992']	2	0	0	0							
18975	23265	1.63364E+18	en	everyone	3/8/2023 22:39	gerardroth adamkinzinger jeffrey sachs advice post soviet russia exactly created malignant kleptocracy reason keep defending face monumental failure	Negative	"@GerardRoth1 @AdamKinzinger Jeffrey Sachs ""advice""  in post Soviet Russia is exactly what created this malignant kleptocracy. The only reason he keeps defending them is that he can't face how monumental his failure was"	1.54123E+18	"[{'type': 'replied_to', 'id': '1633642505739595779'}]"	1.63367E+18	['1633673853233758213']	0	0	0	6	302100887						
19263	23553	1.63357E+18	en	everyone	3/8/2023 22:37	nkulw say support russia	Positive	@nkulw Just say you support Russia	1.55591E+18	"[{'type': 'replied_to', 'id': '1633673269420146691'}]"	1.63367E+18	['1633673371413086208']	0	0	0	6	1.55591E+18						
